"","PC1","PC2","PC3"
"TRIP12",-0.821876818149866,0.468046680232962,0.0927963154209192
"SGPL1",-0.819623192245476,0.452941026211602,0.0370513288790161
"SEMA3A",-0.817754775551523,0.467894215007772,0.0349433795398269
"USP24",-0.817251551248551,0.443555242837798,0.174382173880076
"ZNF260",-0.81077772200399,0.488425187625247,-0.00306424623795217
"ELMOD2",-0.807099259329485,0.455250774146957,0.169578698276248
"CEP55",-0.80704356138856,0.454954507674023,0.1523285139963
"LOC100506451",-0.80607716873137,0.456904626112165,0.0206171770082486
"MIER3",-0.803307491601232,0.446980029649631,0.120883924329818
"FAM208A",-0.801431014521527,0.448378779391835,0.0120462004466493
"FGF5",-0.798353667413224,0.442470691769037,-0.0635056029320555
"CCDC129",-0.796400867078548,0.454374089372084,0.109113284869722
"RPS6KC1",-0.79492726855982,0.478515847945409,0.144528252762932
"RPS6KA6",-0.792478298415175,0.472729212774397,0.162387955487
"STRN3",-0.792073858157941,0.471116851608221,0.115107041391101
"C9orf40",-0.787234484855063,0.471060531872647,0.0543148422105114
"GREB1",-0.785245843375433,0.505067785124427,0.0148771643350501
"C1orf9",-0.784380200322541,0.490538123668083,-0.116612955088295
"UBAP2",-0.782533390019476,0.460357215596011,0.219161558373509
"LANCL1",-0.7805345563956,0.511481809488536,-0.00162978524226817
"PSKH2",-0.780011493039361,0.522512552831705,0.249446814616719
"GNAL",-0.777294353958381,0.460138406347933,0.208273983326063
"DAB1",-0.772935015886506,0.461602435728131,0.131615222655667
"LAPTM4B",-0.772735026885534,0.462432166316676,0.231075703147347
"LOC389458.RBAK.RBAK.LOC389458",-0.772593701070437,0.458635187116094,-0.164494717003499
"CCDC90B",-0.772492500059404,0.442164846332691,0.0425243729812071
"DKFZP686I15217",-0.772327466928188,0.503557556124491,0.158926144548194
"DTWD2",-0.771928077779149,0.498098250220516,0.166845557423214
"NMU",-0.770920200088998,0.47724673142377,0.207355564859498
"HOMER2",-0.768177518394263,0.440738594305156,0.178598988890732
